,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
330,"['rp', 'rerp', 'trrp', 'gas', 'ctwav']",2,2,49,421234,71.0,0.6904460815757467,0,116
331,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgad', 'remk']",3,2,96,6510924,81.83333333333333,0.8129903424736175,0,88
332,"['rerp', 'regas', 'gad', 'trgad', 'mk', 'trmk']",4,1,85,13093194,79.33333333333333,0.7850442448897825,0,79
333,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'remk']",3,2,94,6253268,82.83333333333333,0.8236064406408666,0,102
334,"['rp', 'rerp', 'gas', 'trgas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,17,41473,44.5,0.3813868846320554,0,92
335,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk', 'ctwav']",4,3,57,13447025,80.33333333333333,0.7956798223276551,0,147
336,"['rp', 'gas', 'trgas', 'gad', 'trgad', 'mk', 'trmk', 'ctwav']",2,3,92,1953795,74.66666666666667,0.7434360957100247,0,87
337,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'remk']",3,2,96,6520332,82.16666666666667,0.8181938171334457,0,93
338,"['trrp', 'gas', 'trgas', 'remk', 'trmk', 'ctwav']",2,2,59,603450,76.16666666666667,0.7525313872793906,0,117
339,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,91,1971827,76.66666666666667,0.7566442212247502,0,87
340,"['gas', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk', 'ctwav']",4,3,64,16363404,78.16666666666667,0.7749144179457141,0,148
341,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'ctwav']",3,1,94,3831194,82.5,0.8198302079903597,0,71
342,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",3,1,94,3831194,81.66666666666667,0.8102675238692197,0,72
343,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'remk']",3,1,93,3826588,81.83333333333333,0.8125092667312347,0,68
344,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'remk']",3,1,94,3826588,81.0,0.8036666178197116,0,67
345,"['trrp', 'trgad', 'mk', 'trmk', 'ctwav']",3,3,63,4033996,76.83333333333333,0.7583287405337815,0,109
346,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk', 'ctwav']",4,3,32,4126756,80.16666666666667,0.7956356711644098,0,169
